collection,img,name1,name2,link,price,likes
bears,https://lh3.googleusercontent.com/U9uqbTHoZGbjBfrePbWfbjWTpMwhnFK9AEdw79_SDmUprjAwYkhVLwjkCsH2ftxsWfmoJE4CbypNgxYEwKgQuAqHbFbA5vLXrPZ4PQ=w203,HYPEBEARSCLUB.OFFICIAL,HYPEBEARS  #6645,https://opensea.io/assets/0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef/6645,1.49,4
bears,https://lh3.googleusercontent.com/vVNxrO0-A0WwDAbvA_TWC8zQkf6Zoxcs9OwaJr4q3-MpgB2flFt5KGZGKjXsamLnYjuZVxRlyK-9q2VwUoIpv7oJvqvzji50ZKcV=w203,HYPEBEARSCLUB.OFFICIAL,HYPEBEARS  #9690,https://opensea.io/assets/0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef/9690,1.49,5
bears,https://lh3.googleusercontent.com/phDR5JcIkM2Cma2JSQ6IejF9PReL39vQWdETwv2g7ww-E9mwnxdI7O0Kn5eOAgWITkRKAvQ1o9wxZMviFk04LWpcOO_xLcVtao-r8g=w203,HYPEBEARSCLUB.OFFICIAL,HYPEBEARS  #4100,https://opensea.io/assets/0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef/4100,1.49,5
bears,https://lh3.googleusercontent.com/QWdFOeQP4dBR3Kt6g6ltJfZwGTpR7lrexYqDPDo0c3vq3eaGRpDMO3lpYBuoRFgkImF40soVn-99P4-wNjyS10_lQt2LZI9r0Yne=w203,HYPEBEARSCLUB.OFFICIAL,HYPEBEARS  #8590,https://opensea.io/assets/0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef/8590,1.497,2
cryptoskulls,https://lh3.googleusercontent.com/mkpXgAqIqduRS1EKYzAlHE84mpcaN-67yIkzxB4yckeThFS76pkn8M8Pw8OWJjSdR65MAZtWqPk9X7j2UDe0veCgig=w282,CryptoSkulls,CryptoSkull #1518,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/1518,1.9,3
cryptoskulls,https://lh3.googleusercontent.com/BUEi-rZpKnIAnRl3xzx0r1RVQQ0b_qGfEmKsuy_7bkXyNnckhBX0ozQQ9gGREKsGB3tMuj5goxpNVYjtHCKajQoX=w282,CryptoSkulls,CryptoSkull #1717,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/1717,1.9,10
cryptoskulls,https://lh3.googleusercontent.com/wUObT8Q81NW_lOFTtPzDD5gHufu6FyOszVFL9wNfa0bMd6YP97fuC9YhRuyhdMKmPyUeDYx5FN5COZtQJhRKWpjFWw=w282,CryptoSkulls,CryptoSkull #1522,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/1522,1.9,9
cryptoskulls,https://lh3.googleusercontent.com/bLSR1IBlDF7itk70bskmWhEuSZPj0UReTFevOyCiQsPbXz0VTguQzKs5Gny28TXMQxwdLEZ82C6owWAxCdtQH24=w282,CryptoSkulls,CryptoSkull #8440,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/8440,1.9,2
cryptoskulls,https://lh3.googleusercontent.com/66wNmQ85PcqTkPM6CFJuidqky-kFtCzDLBFF219mBcz0N5sb0BF2tnpvmILjpsZ0TYDGDEBYb7b5RMFHvpsfwGu8=w282,CryptoSkulls,CryptoSkull #3473,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/3473,1.7,15
cryptoskulls,https://lh3.googleusercontent.com/Z7AQn5MxiFTyToTYuEAgKsc5__Mc-yo75b9rCgRh2VB1gjEdzzE6GgcocQ5U10pGp5BncxkjSgPeXsav-bUifNin=w282,CryptoSkulls,CryptoSkull #8968,https://opensea.io/assets/0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9/8968,1.7,3
