,img,name1,name2,link,price,best_offer,likes
17,https://lh3.googleusercontent.com/uk_DffZl4yOQHwnr-B6mVg3pg_JJCynj6irOdSYkckcNrFK5n0fZ98JR8jgJKCaiDF1QYvjeW4_tGZDgyS1tl4g0Cg5WQ4xhLwGK=w279,Bored Ape Yacht Club,4580,https://opensea.io/assets/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/4580,111.0,666.0,70
18,https://lh3.googleusercontent.com/83nCh7VgJEAGvrhSFKF6sH8GHKYvFX1uuBZ36oIu5PaMBSO3GloAQSyWc17SXQoq0t2PwjbyX-BctsObWHqHcJYdkL4NYoI9x_fE8io=w279,The Sandbox Mega City LAND Sale,"Mega City LAND Sale - 12x12 Estate L [60,192]",https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/55464657044963196816950587289035428064568320970692304673817341597439527747585,0.35,0.0,285
19,https://lh3.googleusercontent.com/prmspSP-7LUi1ZevMOisdpQLTmzEvjCMqiCr4qY5OAAUbCrcZrz87gwxWcxFXKmxnywubBoR5r2xO4oxJlUfWyJubLMXGw9rwnxgsQ=w279,Fidenza by Tyler Hobbs,Fidenza #723,https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/78000723,8.34,650.0,217
20,https://lh3.googleusercontent.com/WbkyOzNgV5i2YlfOzHfZgxzpJqikxEvcY7sOAHWNDr0XRDQsEEyUmoG1bomH7_17P8c_x8KMwtQ5UTP2TTeDsWo0uQ4ljuCjRx6V=w279,Bored Ape Yacht Club,7090,https://opensea.io/assets/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/7090,111.0,600.0,541
21,https://lh3.googleusercontent.com/yFg85mIuEoZwGAOjGzorBAmZ1-K0vvjopKbyWRPHpHgtsI4iHnb7_wZAqjjZTiD2c2d7QPeJE5h8nknwC8M3JwdZIztxJNUKdwIE9Q=w279,Bored Ape Yacht Club,1837,https://opensea.io/assets/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/1837,105.0,569.0,367
22,https://lh3.googleusercontent.com/Pa3p7Bunk7H2NEM8tP34EcG2SBg5G-OIiQIKBU9Mw07ia_4xB2Jb2oIZhykJ5-JdAA3zx_ztEHi1edYaB2Kok9D3VJs9GgKhra9DHg=w279,Decentraland,"Parcel -12,5",https://opensea.io/assets/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/115792089237316195423570985008687907849186596262589302477897088718731911102469,0.0,0.0,45
23,https://lh3.googleusercontent.com/U-UfVXTSDUUkPLNpYDeT2AjCX9rCYXvzeofQ9yDPzK4Dd968qjguxJSsiWLHA70BBZttTfUeh2Dy8UIBy5sh26fuawqyOkXuppELnw=w279,Bored Ape Yacht Club,8135,https://opensea.io/assets/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/8135,62.05,550.0,346
24,https://lh3.googleusercontent.com/ROKDLA2-Dxlxvq4TrdzichNJ9HTu-hYS6emXWvM-G2s-hguqg9jsid8DtvRfZOFBLn-hgBwp-6nrOARGEVPoSG1heMVhCHN-4hJ8lw=w279,Fidenza by Tyler Hobbs,Fidenza #229,https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/78000229,8.34,500.0,122
25,https://lh3.googleusercontent.com/K9SyoheBrA6UXe6grFjdY2TqHZJoMuNeuY6oXKDKE96G_36_2AuHrnkSruogJMIbi5vxIFTyfNQXo3xnR20an06gthhUHkI7-fApkvI=w279,Fidenza by Tyler Hobbs,Fidenza #529,https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/78000529,8.34,500.0,141
26,https://lh3.googleusercontent.com/qkr54jJNgVISqJQd-f-WWcIXzXPc4gpCgFaa7mvl-5n6A56kO_wSeUbiaXZWNgZbCPpOq3ZRdr7x0GBLLx01sxV9CCFeYRD0PgzKBw=w279,Fidenza by Tyler Hobbs,Fidenza #870,https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/78000870,8.34,500.0,164
