,gameMode_name,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,team_0_crowns,opponent_0_crowns
22,RAMRIDER_Rage_Buff_Tournament,Ram Rider,Giant Snowball,Lumberjack,Skeletons,Magic Archer,Barbarian Barrel,Bats,Heal Spirit,Ram Rider,Mega Knight,Cannon Cart,Skeletons,Executioner,Giant Skeleton,Goblin Drill,Guards,3.0,1.0
23,RAMRIDER_Rage_Buff_Tournament,Ram Rider,Giant Snowball,Lumberjack,Skeletons,Magic Archer,The Log,Bats,Heal Spirit,Ram Rider,Golden Knight,The Log,Bandit,Electro Wizard,Mega Knight,Lightning,Zappies,1.0,0.0
24,RAMRIDER_Rage_Buff_Tournament,Ram Rider,Giant Snowball,Lumberjack,Skeletons,Inferno Dragon,The Log,Bats,Heal Spirit,Ram Rider,Electro Wizard,Skeleton Army,Ice Wizard,Zap,The Log,Valkyrie,Cannon,3.0,1.0
0,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,P.E.K.K.A,Electro Wizard,Bandit,Elite Barbarians,Wizard,Poison,Zap,Tornado,1.0,0.0
1,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Lava Hound,Mega Minion,Tombstone,Barbarians,Lightning,Zap,Skeleton Dragons,Balloon,1.0,0.0
2,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Ice Wizard,Baby Dragon,Barbarian Barrel,Poison,Tombstone,Graveyard,Knight,Tornado,1.0,0.0
3,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,The Log,Archer Queen,Hog Rider,Royal Delivery,Skeletons,Bomb Tower,Fire Spirit,Earthquake,1.0,0.0
4,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Archers,Skeletons,Tesla,Rocket,Electro Spirit,Knight,X-Bow,The Log,2.0,1.0
5,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Skeleton King,Miner,Mortar,Bats,Minion Horde,Fireball,Skeleton Army,Spear Goblins,1.0,3.0
6,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Miner,Valkyrie,Fireball,Spear Goblins,Tesla,Bats,Wall Breakers,The Log,0.0,1.0
7,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Golden Knight,Furnace,Mother Witch,Goblin Hut,Barbarian Barrel,Lightning,Mega Minion,Goblin Giant,1.0,0.0
8,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,The Log,Royal Giant,Dark Prince,Electro Wizard,Fisherman,Electro Spirit,Fireball,Mega Minion,1.0,0.0
9,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Lightning,Electro Wizard,The Log,Mini P.E.K.K.A,Arrows,Royal Giant,Hunter,P.E.K.K.A,2.0,1.0
10,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Dart Goblin,Skeleton Army,Royal Delivery,Golden Knight,Inferno Tower,Goblin Barrel,Skeleton Barrel,The Log,0.0,1.0
11,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Balloon,Tornado,Barbarian Barrel,Bowler,Inferno Dragon,Electro Dragon,Freeze,Lumberjack,1.0,0.0
12,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Royal Giant,Valkyrie,Baby Dragon,Mega Minion,Tombstone,Lightning,Tornado,Barbarian Barrel,0.0,1.0
13,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Zap,Fireball,Minions,Battle Ram,Royal Ghost,Bandit,Electro Wizard,P.E.K.K.A,1.0,3.0
14,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Lava Hound,Baby Dragon,Lumberjack,Fireball,Flying Machine,Clone,Bats,Skeleton Army,0.0,1.0
15,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Tornado,Skeletons,Tesla,The Log,Magic Archer,Wall Breakers,Valkyrie,Goblin Drill,2.0,1.0
16,Ladder,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,Giant,Prince,Ice Spirit,Mega Minion,Archer Queen,Fireball,Zap,The Log,1.0,0.0
