County_full,longitude,latitude,D,E,F,color
"Monterey County, CA",-121.5595,36.5179,102.0,4.0,0.04,green
"Philadelphia County, PA",-75.1339,40.0077,28.0,3.3,0.02,green
"Multnomah County, OR",-122.4847,45.5353,54.0,3.5,0.04,green
"Monmouth County, NJ",-74.1024,40.2856,69.0,4.3,0.02,green
"Norfolk County, MA",-71.1311,42.1805,60.0,2.8,0.01,green
"Dane County, WI",-89.4157,43.0784,77.0,3.2,0.02,green
"Marion County, IN",-86.1401,39.8059,43.0,3.9,0.02,green
"Essex County, MA",-70.9664,42.6602,52.0,2.6,0.01,green
"Will County, IL",-88.0277,41.4715,59.0,2.0,0.01,green
"Milwaukee County, WI",-87.9472,43.0316,43.0,5.5,0.02,green
"Cobb County, GA",-84.584,33.9087,52.0,6.7,0.04,green
"Travis County, TX",-97.8078,30.2991,31.0,2.0,0.02,green
"Guilford County, NC",-79.7907,36.0829,73.0,4.3,0.04,green
"St. Louis County, MO",-90.3595,38.6562,38.0,5.0,0.04,green
"Lynchburg city, VA",-79.1909,37.4003,455.0,6.9,0.05,yellow
"Buncombe County, NC",-82.4956,35.5762,142.0,1.6,0.03,green
"Montgomery County, MD",-77.1035,39.0686,35.0,1.9,0.02,green
"Monroe County, NY",-77.702,43.1324,49.0,4.4,0.03,green
"Hartford County, CT",-72.7271,41.8393,41.0,3.0,0.01,green
"Sacramento County, CA",-121.3557,38.5237,23.0,6.6,0.05,green
"Bernalillo County, NM",-106.4898,35.0864,53.0,6.4,0.03,green
"Spokane County, WA",-117.3602,47.6097,68.0,3.9,0.04,green
"New Hanover County, NC",-77.8724,34.2252,147.0,3.9,0.05,green
"Snohomish County, WA",-122.1067,47.9727,41.0,2.4,0.03,green
"Solano County, CA",-121.9935,38.2864,75.0,7.2,0.06,green
"Ocean County, NJ",-74.2114,39.8986,55.0,4.3,0.02,green
"Tulare County, CA",-119.1291,36.1886,72.0,3.0,0.08,green
"Duval County, FL",-81.5757,30.3138,34.0,4.7,0.03,green
"Lee County, FL",-81.8981,26.5952,42.0,3.4,0.01,green
"Craighead County, AR",-90.5978,35.8356,290.0,3.9,0.02,yellow
"Pinellas County, FL",-82.7608,27.8841,32.0,6.4,0.02,green
"Johnson County, TX",-97.3151,32.4044,179.0,5.7,0.02,green
"Butler County, OH",-84.5202,39.4306,80.0,3.3,0.04,green
"Comal County, TX",-98.3035,29.7745,194.0,0.0,0.02,green
"Mineral County, NV",-118.5721,38.6245,6704.0,2.7,0.02,yellow
"Durham County, NC",-78.8776,36.0807,93.0,2.9,0.05,green
"Bristol County, MA",-71.1205,41.8085,53.0,2.3,0.02,green
"Ulster County, NY",-74.1231,41.863,166.0,2.3,0.01,green
"Franklin County, OH",-82.9975,39.9738,22.0,6.0,0.02,green
"Tulsa County, OK",-95.9662,36.1344,45.0,3.8,0.03,green
"San Joaquin County, CA",-121.2538,37.992,38.0,5.9,0.04,green
"Ramsey County, MN",-93.1122,45.0386,53.0,3.5,0.03,green
"Utah County, UT",-111.7821,40.1921,45.0,3.2,0.02,green
"Gwinnett County, GA",-84.0702,33.9799,31.0,3.6,0.03,green
"Sonoma County, CA",-122.8255,38.4264,58.0,3.6,0.02,green
"Washtenaw County, MI",-83.8064,42.2565,78.0,4.6,0.02,green
"Kenton County, KY",-84.5495,39.0318,170.0,4.5,0.03,green
"Somerset County, NJ",-74.5806,40.5206,86.0,3.3,0.02,green
"Chesterfield County, VA",-77.5015,37.3972,79.0,5.3,0.03,green
"New Castle County, DE",-75.618,39.6835,50.0,2.8,0.01,green
"Imperial County, CA",-115.5581,33.0231,154.0,3.4,0.04,green
"Boone County, KY",-84.7243,38.9783,209.0,4.5,0.03,yellow
"Prince William County, VA",-77.4108,38.6848,59.0,0.7,0.01,green
"Kane County, IL",-88.4008,41.9418,52.0,1.7,0.01,green
"Kent County, MI",-85.6367,42.9975,42.0,4.9,0.04,green
"Richmond County, NY",-74.1496,40.5834,57.0,2.5,0.02,green
"Orleans Parish, LA",-89.9288,30.0687,69.0,2.9,0.01,green
"Baltimore County, MD",-76.603,39.3592,32.0,3.1,0.02,green
"El Paso County, CO",-104.7092,38.9258,37.0,1.6,0.01,green
"Douglas County, NE",-96.2098,41.28,46.0,4.8,0.04,green
"El Paso County, TX",-106.3169,31.7479,31.0,5.2,0.04,green
"Jefferson County, CO",-105.1828,39.705,44.0,2.3,0.02,green
"Manatee County, FL",-82.6082,27.4803,64.0,1.0,0.03,green
"Stanislaus County, CA",-120.9784,37.5993,46.0,5.3,0.07,green
"Baltimore city, MD",-76.6144,39.3051,42.0,3.1,0.02,green
"Bucks County, PA",-75.0546,40.26,39.0,3.3,0.02,green
"Mercer County, NJ",-74.6711,40.2658,67.0,2.2,0.02,green
"Arlington County, VA",-77.1011,38.8786,103.0,2.0,0.02,green
"Pinal County, AZ",-111.5046,32.9816,53.0,6.7,0.03,green
"Hampden County, MA",-72.5534,42.1402,52.0,1.8,0.02,green
"Dakota County, MN",-93.0734,44.7516,56.0,3.5,0.03,green
"Benton County, AR",-94.2472,36.3452,86.0,2.9,0.03,green
"Rockland County, NY",-74.0152,41.1152,74.0,2.6,0.02,green
"Norfolk city, VA",-76.259,36.8945,98.0,1.6,0.01,green
"Chittenden County, VT",-73.1875,44.4838,143.0,3.9,0.01,green
"Santa Cruz County, CA",-121.9582,37.0026,86.0,3.3,0.04,green
"Johnston County, NC",-78.3223,35.5405,111.0,1.8,0.05,green
"Wichita County, TX",-98.6341,33.9917,175.0,0.5,0.02,green
"San Luis Obispo County, CA",-120.6829,35.3467,82.0,3.3,0.02,green
"Larimer County, CO",-105.1737,40.5402,64.0,2.8,0.01,green
"McLennan County, TX",-97.1628,31.5442,89.0,3.3,0.02,green
"Jerome County, ID",-114.2872,42.6396,930.0,1.5,0.03,yellow
"Shelby County, TN",-89.7966,35.1887,24.0,1.9,0.02,green
"Hamilton County, TN",-85.2051,35.1474,61.0,5.3,0.03,green
"Prince George's County, MD",-76.8788,38.8808,25.0,1.9,0.02,green
"Kent County, RI",-71.5837,41.7025,133.0,1.8,0.02,green
"Yakima County, WA",-120.4833,46.5245,87.0,0.0,0.02,green
"McCreary County, KY",-84.4632,36.6948,1248.0,2.0,0.01,yellow
"Genesee County, MI",-83.7134,42.9867,52.0,3.0,0.02,green
"Anne Arundel County, MD",-76.5871,39.03,37.0,3.1,0.02,green
"Placer County, CA",-120.8125,39.0092,53.0,6.6,0.05,green
"Polk County, FL",-81.7552,27.9791,29.0,5.7,0.03,green
"Tuscaloosa County, AL",-87.42,33.2244,100.0,2.0,0.01,green
"Arapahoe County, CO",-104.7186,39.638,32.0,2.3,0.02,green
"Hillsborough County, NH",-71.4842,42.9005,49.0,4.3,0.02,green
"Lane County, OR",-123.146,43.962,54.0,4.1,0.04,green
"Denver County, CO",-104.8759,39.7621,28.0,2.3,0.02,green
"Richmond County, NC",-79.7217,34.9787,451.0,3.1,0.03,yellow
"Burlington County, NJ",-74.7606,39.9864,45.0,6.2,0.02,green
"Washington County, RI",-71.6866,41.415,161.0,1.8,0.02,green
"Delaware County, PA",-75.3373,39.898,35.0,3.3,0.02,green
"Brazos County, TX",-96.3208,30.665,87.0,3.3,0.01,green
"Cuyahoga County, OH",-81.616,41.4393,16.0,5.2,0.02,green
"Kings County, CA",-119.7809,36.2332,129.0,5.5,0.08,green
"Plymouth County, MA",-70.7706,41.9137,38.0,2.8,0.01,green
"McHenry County, IL",-88.3448,42.3094,64.0,4.3,0.02,green
"Waukesha County, WI",-88.3086,43.0472,49.0,5.5,0.02,green
"Guadalupe County, TX",-98.0483,29.6183,118.0,6.6,0.03,green
"Knox County, TN",-83.9656,35.9699,42.0,2.8,0.03,green
"Alachua County, FL",-82.3853,29.6863,73.0,9.3,0.03,green
"Wayne County, KY",-84.8506,36.8404,964.0,2.0,0.01,yellow
"Columbia County, GA",-82.2144,33.5036,124.0,1.9,0.03,green
"Clackamas County, OR",-122.5268,45.3488,46.0,3.5,0.04,green
"Henrico County, VA",-77.4773,37.6084,58.0,5.3,0.03,green
"Henry County, VA",-79.8868,36.6877,378.0,1.0,0.02,yellow
"Olmsted County, MN",-92.4191,44.0053,120.0,6.4,0.01,green
"Camden County, NJ",-75.0303,39.8664,38.0,6.2,0.02,green
"Volusia County, FL",-81.151,29.0844,34.0,3.7,0.02,green
"Bedford County, VA",-79.472,37.4076,238.0,6.9,0.05,yellow
"Tompkins County, NY",-76.5016,42.4554,182.0,2.7,0.03,green
"Cumberland County, ME",-70.324,43.7403,62.0,2.7,0.05,green
"Johnson County, KS",-94.7311,38.9593,30.0,2.5,0.01,green
"New London County, CT",-72.0357,41.4139,68.0,1.8,0.02,green
"Saratoga County, NY",-73.7486,43.0307,78.0,4.9,0.02,green
"Blaine County, ID",-114.2413,43.5326,782.0,0.0,0.0,yellow
"Kennebec County, ME",-69.7501,44.3399,146.0,3.8,0.03,green
"Bonner County, ID",-116.5897,48.2179,389.0,2.0,0.03,yellow
"Brevard County, FL",-80.6686,28.2215,29.0,2.2,0.02,green
"Merced County, CA",-120.6406,37.2659,64.0,5.3,0.07,green
"Cleveland County, OK",-97.33,35.1566,62.0,2.5,0.01,green
"Harnett County, NC",-78.7446,35.3865,129.0,4.0,0.06,green
