County_full,longitude,latitude,D,E,F,color
"Chatham County, NC",-79.2765,35.6562,121.0,4.0,0.06,green
"Muscogee County, GA",-84.8771,32.51,45.0,6.4,0.06,green
"Muskegon County, MI",-86.2201,43.2633,51.0,5.0,0.05,green
"Sullivan County, TN",-82.3889,36.5184,56.0,6.9,0.07,green
"Douglas County, CO",-104.8998,39.4379,25.0,2.3,0.02,green
"Montgomery County, MO",-91.4499,38.9081,770.0,0.0,0.0,yellow
"Boyd County, KY",-82.6651,38.4391,188.0,8.7,0.05,green
"Sangamon County, IL",-89.6399,39.7703,45.0,1.5,0.01,green
"Miller County, AR",-93.8651,33.3531,203.0,0.8,0.01,yellow
"Brazoria County, TX",-95.4331,29.2042,23.0,0.4,0.02,green
"St. Joseph County, IN",-86.277,41.6467,32.0,4.6,0.02,green
"Covington city, VA",-79.9868,37.7785,1571.0,1.4,0.01,yellow
"Butte County, CA",-121.5662,39.6186,40.0,8.6,0.04,green
"Schenectady County, NY",-74.0384,42.8035,56.0,4.9,0.02,green
"Pike County, MS",-90.4694,31.1735,219.0,1.1,0.01,yellow
"Harford County, MD",-76.2972,39.5238,34.0,2.8,0.01,green
"Washington County, TX",-96.4982,30.1699,240.0,3.3,0.01,yellow
"Hardin County, KY",-85.9369,37.7356,78.0,9.0,0.03,green
"Lincoln County, NC",-81.0815,35.478,100.0,0.8,0.05,green
"Canadian County, OK",-97.8875,35.5507,57.0,6.3,0.04,green
"Anderson County, TN",-84.1345,36.1394,110.0,2.2,0.04,green
"St. Clair County, MI",-82.6146,42.8673,53.0,2.5,0.01,green
"Cheshire County, NH",-72.356,42.989,112.0,5.1,0.05,green
"Pasquotank County, NC",-76.2361,36.2943,213.0,1.0,0.02,yellow
"Henry County, GA",-84.193,33.4064,36.0,3.6,0.03,green
"La Crosse County, WI",-91.1457,43.8849,72.0,6.6,0.02,green
"St. Louis city, MO",-90.2451,38.6358,28.0,5.0,0.04,green
"Bryan County, GA",-81.4655,32.0234,215.0,2.0,0.02,yellow
"St. Lucie County, FL",-80.3385,27.3998,26.0,4.4,0.02,green
"Albemarle County, VA",-78.5136,38.0266,77.0,7.0,0.03,green
"Johnson County, AR",-93.4767,35.4444,316.0,7.5,0.02,yellow
"Newport News city, VA",-76.5185,37.1051,47.0,1.9,0.02,green
"Churchill County, NV",-118.7473,39.4445,337.0,2.7,0.02,yellow
"Bullitt County, KY",-85.6794,38.024,103.0,4.9,0.03,green
"Clayton County, GA",-84.3508,33.5459,29.0,3.6,0.03,green
"Greene County, MO",-93.3651,37.2667,29.0,2.4,0.03,green
"Rutherford County, TN",-86.4926,35.8608,25.0,1.7,0.02,green
"Cassia County, ID",-113.6508,42.4033,350.0,2.2,0.02,yellow
"Winnebago County, WI",-88.6321,44.1073,48.0,1.7,0.02,green
"Rice County, MN",-93.28,44.3547,124.0,1.5,0.06,green
"Juneau City and Borough, AK",-134.1739,58.4546,256.0,4.3,0.02,yellow
"Elmore County, ID",-115.6233,43.0439,298.0,2.8,0.05,yellow
"Liberty County, TX",-94.8281,30.1681,93.0,6.4,0.04,green
"Lehigh County, PA",-75.5357,40.6153,22.0,3.9,0.02,green
"Fulton County, NY",-74.401,43.0639,152.0,9.7,0.05,green
"Madison County, KY",-84.2912,37.6605,87.0,4.4,0.03,green
"Boone County, MO",-92.3447,38.9799,45.0,5.0,0.03,green
"Grant County, KY",-84.5963,38.6501,323.0,4.5,0.03,yellow
"Montgomery County, VA",-80.3879,37.1752,82.0,5.6,0.05,green
"Gooding County, ID",-114.8153,42.8631,527.0,1.5,0.03,yellow
"Rensselaer County, NY",-73.6109,42.6836,50.0,4.8,0.02,green
"Centre County, PA",-77.7929,40.8985,49.0,4.2,0.06,green
"Luzerne County, PA",-75.927,41.2029,25.0,7.6,0.05,green
"Yavapai County, AZ",-112.3236,34.6025,34.0,6.7,0.03,green
"Bowie County, TX",-94.2637,33.4389,85.0,0.8,0.01,green
"Washington County, MS",-90.9354,33.3374,180.0,0.0,0.03,green
"Johnson County, IA",-91.6068,41.6912,52.0,4.9,0.02,green
"Cochise County, AZ",-109.9565,31.7212,62.0,4.3,0.03,green
"Cabell County, WV",-82.2529,38.4136,85.0,8.7,0.05,green
"Parker County, TX",-97.7318,32.7615,55.0,5.7,0.02,green
"Green County, WI",-89.5431,42.6883,211.0,5.1,0.03,yellow
"Oldham County, KY",-85.498,38.3771,115.0,4.9,0.03,green
"Madison County, NY",-75.7189,43.0067,109.0,3.6,0.03,green
"Canyon County, ID",-116.7301,43.6475,34.0,2.8,0.05,green
"Davidson County, NC",-80.2158,35.833,45.0,4.3,0.04,green
"Erie County, PA",-80.0732,41.9889,28.0,2.8,0.04,green
"Wharton County, TX",-96.1202,29.2968,183.0,0.4,0.02,green
"Danville city, VA",-79.4087,36.5831,190.0,1.0,0.02,green
"Ponce Municipio, PR",-66.606,18.0622,58.0,1.5,0.0,green
"Hanover County, VA",-77.3994,37.7175,71.0,5.3,0.03,green
"Tolland County, CT",-72.3177,41.8386,50.0,3.0,0.01,green
"Eaton County, MI",-84.8285,42.6261,68.0,4.4,0.06,green
"Berkeley County, WV",-77.9787,39.4825,63.0,6.2,0.04,green
"Rowan County, NC",-80.5193,35.6176,52.0,2.1,0.04,green
"Marion County, WV",-80.2223,39.499,132.0,9.0,0.05,green
"Sevier County, AR",-94.2611,33.9915,435.0,0.8,0.01,yellow
"Crittenden County, KY",-88.1362,37.3473,829.0,3.9,0.02,yellow
"Clinton County, NY",-73.5603,44.7044,91.0,6.6,0.09,green
"Caledonia County, VT",-71.9737,44.5886,243.0,6.1,0.02,yellow
"Warren County, NJ",-75.0262,40.7945,69.0,2.6,0.01,green
"Washington County, PA",-80.1206,40.1946,35.0,3.5,0.03,green
"St. Croix County, WI",-92.4754,45.0431,79.0,1.1,0.01,green
"Josephine County, OR",-123.5041,42.2727,82.0,6.3,0.03,green
"Shelby County, KY",-85.2309,38.2582,147.0,4.9,0.03,green
"Ontario County, NY",-77.2204,42.8887,66.0,6.6,0.06,green
"Madison County, TN",-88.852,35.627,73.0,3.8,0.05,green
"Strafford County, NH",-70.9286,43.3112,54.0,2.1,0.04,green
"Sumner County, TN",-86.4846,36.479,37.0,0.8,0.02,green
"Poinsett County, AR",-90.6468,35.5672,302.0,3.9,0.02,yellow
"Kitsap County, WA",-122.6284,47.6352,26.0,2.4,0.03,green
"Russell County, KY",-85.0718,37.0203,396.0,2.7,0.04,yellow
"Barren County, KY",-85.9386,37.0847,158.0,4.8,0.01,green
"Harrison County, MS",-89.13,30.4285,34.0,1.1,0.01,green
"Crittenden County, AR",-90.29,35.2057,146.0,0.0,0.0,green
"Forsyth County, GA",-84.1337,34.2064,29.0,3.6,0.03,green
"Pecos County, TX",-102.6361,31.0783,442.0,1.0,0.01,yellow
"Randolph County, NC",-79.7589,35.776,49.0,4.3,0.04,green
"Northwest Arctic Borough, AK",-160.8506,66.9688,919.0,3.1,0.03,yellow
"Hutchinson County, TX",-101.5151,35.6985,330.0,2.0,0.03,yellow
"Lawrence County, AR",-91.1159,36.0566,421.0,3.9,0.02,yellow
"Tazewell County, IL",-89.4879,40.5374,52.0,6.5,0.01,green
"Yancey County, NC",-82.2974,35.9164,382.0,0.0,0.03,yellow
"Wilson County, NC",-77.912,35.6915,84.0,1.8,0.05,green
"Charles County, MD",-76.9473,38.5225,42.0,1.9,0.02,green
"Carroll County, MD",-77.0302,39.5303,40.0,3.1,0.02,green
"Okanogan County, WA",-119.5338,48.3596,161.0,3.1,0.03,green
"Moore County, TX",-101.9322,35.9746,325.0,2.0,0.03,yellow
"Marion County, FL",-82.1787,29.2022,19.0,6.6,0.04,green
"Wilson County, TX",-98.0824,29.2007,133.0,6.6,0.03,green
"LaSalle County, IL",-88.9099,41.3131,63.0,2.7,0.01,green
"Bayamón Municipio, PR",-66.1635,18.3793,40.0,1.5,0.0,green
"Spotsylvania County, VA",-77.6581,38.2509,50.0,3.5,0.05,green
"Washington County, ME",-67.099,45.003,214.0,9.8,0.02,yellow
"Steuben County, NY",-77.2912,42.2532,69.0,8.1,0.05,green
"Lewis County, WA",-122.7088,46.5861,82.0,3.9,0.03,green
"Shasta County, CA",-122.0399,40.7219,37.0,9.4,0.04,green
"Fairbanks North Star Borough, AK",-147.4448,64.7961,68.0,2.7,0.01,green
"Caldwell County, KY",-87.9729,37.1577,518.0,3.0,0.01,yellow
"Washington County, TN",-82.4892,36.3584,51.0,8.8,0.06,green
"Sussex County, NJ",-74.641,41.0945,47.0,4.4,0.01,green
"Napa County, CA",-122.3982,38.4324,48.0,7.2,0.06,green
"Montgomery County, OH",-84.2704,39.7662,12.0,3.5,0.01,green
"Shoshone County, ID",-116.0583,47.5119,505.0,2.0,0.03,yellow
"Fayette County, PA",-79.7479,39.9632,50.0,3.5,0.03,green
"Chesapeake city, VA",-76.3024,36.6778,27.0,1.6,0.01,green
"Kenosha County, WI",-88.0738,42.5577,38.0,8.2,0.02,green
"Berrien County, MI",-86.4774,41.9769,42.0,5.0,0.05,green
"Butler County, PA",-79.9421,40.909,35.0,3.1,0.02,green
"Rutland County, VT",-72.9782,43.6091,110.0,0.0,0.02,green
"Medina County, TX",-98.9796,29.2797,124.0,6.6,0.03,green
"Currituck County, NC",-76.0628,36.434,231.0,1.6,0.01,yellow
"Carter County, KY",-83.0533,38.3175,239.0,8.7,0.05,yellow
"Bethel Census Area, AK",-161.5852,60.7399,348.0,3.1,0.03,yellow
"Aguada Municipio, PR",-67.1719,18.369,174.0,1.5,0.0,green
"Scott County, MN",-93.503,44.6841,42.0,3.6,0.04,green
"San Jacinto County, TX",-95.1566,30.6449,218.0,6.4,0.04,yellow
"Lubbock County, TX",-101.8081,33.6122,20.0,5.1,0.02,green
"Daviess County, KY",-87.0285,37.7155,61.0,7.4,0.02,green
"Leon County, FL",-84.2561,30.3833,21.0,2.5,0.01,green
"Jackson County, MI",-84.4209,42.1995,39.0,1.7,0.02,green
"Green County, KY",-85.5198,37.2932,567.0,2.7,0.04,yellow
"Atascosa County, TX",-98.5822,28.9805,121.0,6.6,0.03,green
"Muscatine County, IA",-91.1457,41.4939,145.0,1.4,0.01,green
"Cortland County, NY",-76.168,42.5862,128.0,2.7,0.03,green
"Marshall County, AL",-86.3066,34.3217,63.0,2.4,0.01,green
"Carolina Municipio, PR",-65.9792,18.4054,42.0,1.5,0.0,green
"Marshall County, WV",-80.7068,39.9392,200.0,7.9,0.02,yellow
"Linn County, OR",-122.8941,44.5223,47.0,1.8,0.03,green
"Racine County, WI",-88.0395,42.7293,31.0,8.2,0.02,green
"Mercer County, WV",-81.1802,37.35,104.0,8.3,0.06,green
"York County, SC",-81.125,34.9852,22.0,0.6,0.05,green
"Comanche County, TX",-98.514,31.9525,440.0,0.0,0.02,yellow
"Lenawee County, MI",-84.1015,41.9251,61.0,1.7,0.02,green
"Frederick County, VA",-78.293,39.1565,67.0,6.2,0.04,green
"Victoria County, TX",-96.9187,28.764,65.0,4.9,0.03,green
"Tazewell County, VA",-81.5706,37.1478,148.0,8.3,0.06,green
"Franklin County, VT",-72.9438,44.8601,121.0,3.9,0.01,green
"Clark County, IN",-85.7325,38.4324,50.0,2.1,0.06,green
"Missoula County, MT",-113.9594,46.9456,49.0,4.7,0.01,green
"San Juan County, NM",-108.2602,36.6361,48.0,2.0,0.02,green
"Yellowstone County, MT",-108.3468,45.9189,37.0,8.6,0.02,green
"Indian River County, FL",-80.4317,27.7052,37.0,2.2,0.02,green
"Donley County, TX",-100.8196,34.9462,1800.0,2.0,0.03,yellow
"Coconino County, AZ",-111.6136,35.7819,41.0,6.7,0.03,green
"Aiken County, SC",-81.7017,33.543,35.0,1.9,0.03,green
"DeSoto County, FL",-81.8554,27.2038,155.0,7.4,0.03,green
"Lafayette Parish, LA",-92.0609,30.2036,24.0,1.4,0.02,green
"Androscoggin County, ME",-70.1581,44.0617,54.0,3.6,0.02,green
"Sevier County, TN",-83.5329,35.8229,59.0,2.8,0.03,green
"Bartow County, GA",-84.8689,34.2014,54.0,4.2,0.03,green
"Beaver County, PA",-80.3374,40.689,35.0,3.1,0.02,green
"Buchanan County, VA",-82.0974,37.2556,276.0,8.3,0.06,yellow
"Essex County, NY",-73.6586,44.1598,157.0,6.6,0.09,green
"Moca Municipio, PR",-67.0912,18.4213,163.0,1.5,0.0,green
"Douglas County, OR",-123.4411,43.2799,51.0,4.1,0.04,green
"Hernando County, FL",-82.4577,28.5363,29.0,6.4,0.02,green
"Wicomico County, MD",-75.6913,38.3525,55.0,4.0,0.02,green
"Washington County, WI",-88.2213,43.3598,42.0,5.5,0.02,green
"Lipscomb County, TX",-100.2593,36.3355,1763.0,5.6,0.0,yellow
"Mason County, KY",-83.8695,38.6134,334.0,5.0,0.01,yellow
"Gila County, AZ",-110.9896,33.8558,106.0,6.7,0.03,green
"Martinsville city, VA",-79.8636,36.6827,446.0,1.0,0.02,yellow
"Cumberland County, PA",-77.1218,40.1944,22.0,2.4,0.02,green
"Jefferson County, MO",-90.5029,38.3426,25.0,5.0,0.04,green
"Casey County, KY",-84.9285,37.3206,347.0,8.2,0.03,yellow
"Ellis County, TX",-96.7774,32.3882,30.0,4.6,0.03,green
"Powhatan County, VA",-77.9267,37.5427,189.0,5.3,0.03,green
"Madera County, CA",-119.9159,37.1377,35.0,5.5,0.08,green
"Summit County, OH",-81.5166,41.1399,10.0,2.6,0.02,green
"Waller County, TX",-95.9905,29.9842,100.0,6.4,0.04,green
"Phelps County, MO",-91.8068,37.9016,123.0,0.8,0.02,green
"Citrus County, FL",-82.4529,28.857,37.0,6.6,0.04,green
"Stafford County, VA",-77.4426,38.3894,36.0,3.5,0.05,green
"Greenup County, KY",-82.7692,38.5576,157.0,8.7,0.05,green
"Surry County, NC",-80.6848,36.4305,77.0,5.2,0.02,green
"Lincoln County, KY",-84.685,37.4823,224.0,8.2,0.03,yellow
"Vanderburgh County, IN",-87.5418,38.0353,30.0,8.3,0.02,green
"Greene County, AR",-90.5277,36.1625,119.0,3.9,0.02,green
"Wilson County, TN",-86.4177,36.1711,37.0,0.8,0.02,green
"Tippecanoe County, IN",-86.8472,40.4124,28.0,3.9,0.04,green
"Gibson County, TN",-88.9063,35.9737,108.0,3.8,0.05,green
"Richland County, SC",-80.9461,34.0242,13.0,3.7,0.01,green
"Minnehaha County, SD",-96.7077,43.6555,27.0,5.4,0.04,green
"Wise County, TX",-97.6441,33.1622,76.0,2.2,0.03,green
"Cass County, ND",-97.1182,46.9193,29.0,3.8,0.03,green
"Island County, WA",-122.535,48.152,62.0,2.4,0.03,green
"Ozaukee County, WI",-87.9463,43.3671,59.0,5.5,0.02,green
"Outagamie County, WI",-88.4564,44.3768,28.0,0.8,0.02,green
"Putnam County, NY",-73.7048,41.4173,54.0,2.3,0.01,green
"Franklin County, MA",-72.5973,42.5753,76.0,2.4,0.01,green
"Lewis and Clark County, MT",-112.1248,46.7958,76.0,6.8,0.05,green
"Hays County, TX",-97.9709,30.0636,23.0,3.3,0.02,green
"Dillingham Census Area, AK",-158.5074,59.1651,1078.0,3.1,0.03,yellow
"Walker County, GA",-85.3099,34.8965,76.0,5.3,0.03,green
"Eau Claire County, WI",-91.2579,44.7337,50.0,5.1,0.04,green
"Pennington County, SD",-103.005,44.0379,46.0,7.0,0.02,green
"Union County, AR",-92.502,33.1826,134.0,1.5,0.02,green
"Henderson County, TN",-88.3145,35.6357,185.0,3.8,0.05,green
"Carver County, MN",-93.7851,44.8312,49.0,3.6,0.04,green
"Humboldt County, CA",-124.0297,40.65,38.0,3.7,0.01,green
"Guaynabo Municipio, PR",-66.1134,18.3839,61.0,1.5,0.0,green
"Starr County, TX",-98.8252,26.4103,79.0,7.5,0.03,green
"Raleigh County, WV",-81.2146,37.7399,70.0,6.1,0.04,green
"Botetourt County, VA",-79.8478,37.4214,153.0,6.9,0.05,green
"Wood County, WI",-89.9496,44.4751,70.0,4.1,0.03,green
"Chemung County, NY",-76.8049,42.1489,61.0,8.1,0.05,green
"Gray County, TX",-100.7897,35.4066,233.0,0.0,0.0,yellow
"Herkimer County, NY",-74.9802,43.2286,83.0,3.6,0.03,green
"Kendall County, TX",-98.8165,29.8779,105.0,6.6,0.03,green
"Addison County, VT",-73.1806,44.0706,136.0,3.9,0.01,green
"Calcasieu Parish, LA",-93.2916,30.2511,25.0,4.0,0.02,green
"Cambria County, PA",-78.7651,40.4063,38.0,3.2,0.02,green
"Yuba County, CA",-121.3822,39.2088,64.0,4.6,0.04,green
"Maverick County, TX",-100.477,28.7242,85.0,4.5,0.0,green
"Nacogdoches County, TX",-94.6006,31.6914,77.0,0.9,0.02,green
"Greenbrier County, WV",-80.5365,37.8717,144.0,1.4,0.01,green
"Charleston County, SC",-79.984,32.791,12.0,4.4,0.02,green
"Wright County, MN",-93.9029,45.191,36.0,3.6,0.04,green
"Blount County, TN",-83.9379,35.7738,38.0,2.8,0.03,green
"Montgomery County, AL",-86.1784,32.3204,22.0,3.6,0.02,green
"Summit County, UT",-111.3856,40.753,119.0,4.2,0.03,green
"Lexington County, SC",-81.2097,33.9427,17.0,3.7,0.01,green
"DeKalb County, IL",-88.7387,41.8885,48.0,1.7,0.01,green
"Portage County, OH",-81.2406,41.2092,30.0,2.6,0.02,green
"Franklin County, VA",-79.7983,37.0289,87.0,6.9,0.05,green
"St. Tammany Parish, LA",-89.9765,30.4211,19.0,4.7,0.02,green
"Wayne County, NY",-76.9584,43.1832,54.0,6.6,0.06,green
"Crawford County, AR",-94.2185,35.5329,77.0,3.2,0.03,green
"Orleans County, VT",-72.2317,44.8869,181.0,6.1,0.02,green
"Goodhue County, MN",-92.7088,44.3848,106.0,1.1,0.01,green
"Mayagüez Municipio, PR",-67.1397,18.2003,69.0,1.5,0.0,green
"Merrimack County, NH",-71.6432,43.2419,32.0,4.3,0.02,green
"Pitt County, NC",-77.4207,35.608,27.0,4.4,0.06,green
"Rutherford County, NC",-81.9196,35.3464,72.0,0.8,0.05,green
"Horry County, SC",-78.9227,33.7831,14.0,3.8,0.03,green
"Sarpy County, NE",-96.0562,41.1321,26.0,4.8,0.04,green
"Mitchell County, NC",-82.1157,35.9629,321.0,0.0,0.03,yellow
"Livingston County, KY",-88.3515,37.1841,522.0,3.9,0.02,yellow
"Catoosa County, GA",-85.1952,34.946,71.0,5.3,0.03,green
"Morton County, ND",-101.41,46.7873,153.0,7.6,0.04,green
"Carroll County, NH",-71.2049,43.7245,98.0,4.3,0.02,green
"Columbia County, AR",-93.2774,33.235,205.0,1.5,0.02,yellow
"Edgecombe County, NC",-77.5522,35.8728,93.0,4.2,0.03,green
"Caguas Municipio, PR",-66.0532,18.2343,39.0,1.5,0.0,green
"Warren County, OH",-84.1964,39.4261,20.0,3.3,0.04,green
"Lake County, CA",-122.7493,38.9781,73.0,7.2,0.06,green
"Yauco Municipio, PR",-66.8652,18.024,140.0,1.5,0.0,green
"Beltrami County, MN",-94.8164,47.7383,100.0,3.6,0.05,green
"St. Francois County, MO",-90.5537,37.825,70.0,5.0,0.04,green
"Martin County, FL",-80.2403,27.1629,29.0,4.4,0.02,green
"Cattaraugus County, NY",-78.6676,42.2562,62.0,3.8,0.05,green
"Monroe County, PA",-75.3363,41.0167,28.0,3.9,0.02,green
"Monroe County, IN",-86.5725,39.1547,32.0,2.8,0.04,green
"Nelson County, KY",-85.4497,37.8046,99.0,4.9,0.03,green
"Black Hawk County, IA",-92.2849,42.4554,35.0,4.5,0.01,green
"Gallatin County, MT",-111.256,45.6567,40.0,4.9,0.04,green
"Pike County, PA",-74.9497,41.2952,82.0,4.5,0.03,green
"Union County, NC",-80.627,35.0215,19.0,1.2,0.02,green
"Clearfield County, PA",-78.4663,40.927,58.0,4.2,0.06,green
"Skagit County, WA",-122.1596,48.474,36.0,2.4,0.03,green
"Fayette County, WV",-81.1878,38.046,108.0,6.1,0.04,green
"Wood County, WV",-81.535,39.2907,55.0,9.7,0.06,green
"Lawrence County, PA",-80.3726,40.9706,53.0,2.3,0.03,green
"Dauphin County, PA",-76.7825,40.36,16.0,2.4,0.02,green
"Floyd County, GA",-85.1978,34.2258,46.0,4.2,0.03,green
"Frio County, TX",-99.0675,28.882,222.0,6.6,0.03,yellow
"Houston County, TX",-95.4073,31.3374,196.0,0.0,0.01,green
"Wayne County, MS",-88.6187,31.6009,223.0,3.3,0.01,yellow
"Robeson County, NC",-79.1437,34.668,34.0,1.6,0.01,green
"Knox County, ME",-69.1369,44.1274,113.0,2.7,0.05,green
"Henderson County, KY",-87.5538,37.7737,97.0,1.7,0.02,green
"Lenoir County, NC",-77.6899,35.2153,79.0,1.9,0.07,green
"Cumberland County, NJ",-75.1428,39.4017,29.0,0.7,0.03,green
"Scott County, IA",-90.5989,41.6251,25.0,1.4,0.01,green
"Cape Girardeau County, MO",-89.6905,37.3511,56.0,1.3,0.01,green
"Morovis Municipio, PR",-66.4259,18.3398,145.0,1.5,0.0,green
"Pontotoc County, OK",-96.6482,34.7595,115.0,6.1,0.02,green
"Riley County, KS",-96.7614,39.2507,59.0,6.3,0.02,green
"Hinds County, MS",-90.42,32.2462,19.0,2.1,0.03,green
"Clay County, MN",-96.5445,46.8755,69.0,3.8,0.03,green
"Reno County, KS",-98.0792,37.9813,69.0,0.0,0.02,green
"Jackson County, AR",-91.195,35.6014,257.0,6.3,0.05,yellow
"Aguadilla Municipio, PR",-67.117,18.462,86.0,1.5,0.0,green
"Bradford County, PA",-76.5647,41.8148,71.0,7.5,0.04,green
"Lake County, OH",-81.3178,41.6887,19.0,5.2,0.02,green
"Person County, NC",-78.9812,36.3879,109.0,2.9,0.05,green
"York County, VA",-76.4695,37.1663,63.0,1.9,0.02,green
"Lee County, MS",-88.668,34.2739,49.0,1.6,0.01,green
"Sumter County, FL",-82.0517,28.7462,32.0,3.7,0.02,green
"Augusta County, VA",-79.052,38.1295,56.0,6.8,0.03,green
"Marion County, IL",-89.015,38.6263,113.0,0.0,0.01,green
"Klamath County, OR",-121.6309,42.2055,62.0,3.9,0.09,green
"Roanoke County, VA",-79.9938,37.2799,45.0,6.9,0.05,green
"Cecil County, MD",-75.9555,39.5764,41.0,2.8,0.01,green
"Murray County, GA",-84.7746,34.8045,105.0,4.8,0.04,green
"Harrison County, KY",-84.3416,38.4533,222.0,4.8,0.04,yellow
"Benton County, MN",-94.0207,45.687,100.0,1.8,0.04,green
"Rock Island County, IL",-90.4604,41.4982,29.0,2.4,0.02,green
"Pottawattamie County, IA",-95.5803,41.3485,44.0,2.6,0.02,green
"Clinton County, MI",-84.5849,42.9399,52.0,4.4,0.06,green
"Allegan County, MI",-85.8611,42.5736,35.0,1.7,0.04,green
"Franklin County, PA",-77.638,39.8355,26.0,3.7,0.03,green
"Delaware County, IN",-85.4047,40.233,36.0,5.3,0.05,green
"Carteret County, NC",-76.7845,34.7272,59.0,3.8,0.03,green
"Liberty County, GA",-81.57,31.8095,65.0,2.0,0.02,green
"Washington County, NY",-73.5818,43.3042,65.0,4.9,0.02,green
"Southampton County, VA",-77.0813,36.6835,227.0,1.6,0.01,yellow
"Rockingham County, NC",-79.7939,36.4211,44.0,4.3,0.04,green
"Warren County, NY",-73.7534,43.512,63.0,4.9,0.02,green
"McClain County, OK",-97.4356,35.0422,99.0,2.5,0.01,green
"Howell County, MO",-91.8503,36.8114,100.0,1.3,0.03,green
"Greene County, TN",-82.84,36.2172,58.0,7.6,0.05,green
"Putnam County, WV",-81.9055,38.5084,71.0,4.4,0.06,green
"Lowndes County, GA",-83.2624,30.8486,34.0,3.8,0.03,green
"Brooke County, WV",-80.6128,40.2589,178.0,1.3,0.02,green
"Christian County, MO",-93.2958,36.9862,44.0,2.4,0.03,green
"Wise County, VA",-82.5748,36.9513,104.0,8.8,0.0,green
"Jackson County, MO",-94.3161,39.0227,6.0,4.2,0.05,green
"Carter County, TN",-82.2259,36.3192,69.0,8.8,0.06,green
"Lee County, NC",-79.116,35.4727,63.0,4.0,0.06,green
"Prince Edward County, VA",-78.4348,37.2688,171.0,5.3,0.03,green
"Washington County, MD",-77.7291,39.5831,26.0,3.7,0.03,green
"Crow Wing County, MN",-94.1117,46.5177,60.0,2.7,0.05,green
"Blair County, PA",-78.3564,40.4817,32.0,3.2,0.02,green
"Yell County, AR",-93.3532,35.0815,183.0,7.0,0.01,green
"Tooele County, UT",-112.5705,40.4626,54.0,4.2,0.03,green
"Ouachita Parish, LA",-92.1274,32.5295,25.0,6.1,0.02,green
"Hot Spring County, AR",-92.8609,34.3423,115.0,2.3,0.03,green
"Hawkins County, TN",-82.9259,36.43,69.0,6.9,0.07,green
"Lycoming County, PA",-76.9812,41.2308,34.0,2.0,0.01,green
"Clinton County, KY",-85.1353,36.6906,382.0,0.0,0.01,yellow
"Chautauqua County, NY",-79.283,42.2616,30.0,2.8,0.04,green
"Cooke County, TX",-97.1562,33.6162,92.0,2.2,0.03,green
"Windham County, CT",-71.9699,41.8072,33.0,3.0,0.01,green
"Greene County, OH",-83.9165,39.7023,22.0,3.5,0.01,green
"LaPorte County, IN",-86.7702,41.5931,35.0,0.0,0.01,green
"Jackson County, NC",-83.1845,35.2837,86.0,0.0,0.02,green
"Andrew County, MO",-94.8254,39.9717,215.0,7.9,0.06,yellow
"Highlands County, FL",-81.4442,27.4552,36.0,5.7,0.03,green
"Tioga County, NY",-76.3516,42.0412,79.0,7.5,0.04,green
"Shawnee County, KS",-95.8267,39.0271,21.0,6.3,0.02,green
"Grant County, OR",-119.0197,44.5151,528.0,0.0,0.0,yellow
"Pope County, AR",-93.0803,35.3221,59.0,7.0,0.01,green
"Kittitas County, WA",-120.8253,47.1501,79.0,0.0,0.02,green
"Schuylkill County, PA",-76.2194,40.7166,26.0,8.0,0.05,green
"Greenville County, SC",-82.3732,34.8455,7.0,3.2,0.02,green
"Dodge County, WI",-88.6393,43.4221,42.0,1.7,0.02,green
"Caddo Parish, LA",-93.9042,32.7312,15.0,5.6,0.02,green
"Mason County, WA",-123.0068,47.3522,55.0,3.9,0.03,green
"Chelan County, WA",-120.2754,47.6258,48.0,3.1,0.03,green
"Maury County, TN",-87.0491,35.6386,38.0,3.5,0.03,green
"Bay County, FL",-85.6672,30.1604,21.0,2.4,0.02,green
"Douglas County, KS",-95.2352,38.9271,30.0,2.5,0.01,green
"Mesa County, CO",-108.4747,39.1398,24.0,3.3,0.02,green
"Lebanon County, PA",-76.4277,40.3303,26.0,2.4,0.02,green
"Clermont County, OH",-84.2001,39.0576,18.0,3.3,0.04,green
"Beaufort County, NC",-76.871,35.5073,79.0,4.4,0.06,green
"Yamhill County, OR",-123.1796,45.2186,35.0,5.9,0.02,green
"Granville County, NC",-78.66,36.242,61.0,2.9,0.05,green
"Hoke County, NC",-79.2443,34.9906,67.0,3.1,0.03,green
"Boone County, AR",-93.0193,36.3055,96.0,1.2,0.0,green
"Page County, VA",-78.5248,38.5765,151.0,6.6,0.02,green
"Boundary County, ID",-116.2569,48.7088,294.0,2.0,0.03,yellow
"Trumbull County, OH",-80.7237,41.2302,18.0,2.8,0.02,green
"Windham County, VT",-72.5683,43.0098,85.0,5.1,0.05,green
"Greene County, NY",-73.9836,42.215,76.0,1.7,0.02,green
"McLeod County, MN",-94.2183,44.8283,100.0,3.6,0.04,green
"Marathon County, WI",-89.7403,44.8778,27.0,4.1,0.03,green
"Loudon County, TN",-84.2981,35.7155,67.0,2.8,0.03,green
"Paulding County, GA",-84.8573,33.9253,21.0,6.7,0.04,green
"Franklin County, NC",-78.2989,36.056,52.0,1.8,0.05,green
"Otsego County, NY",-75.0382,42.5824,61.0,2.7,0.02,green
"Sagadahoc County, ME",-69.8346,43.9346,100.0,2.7,0.05,green
"Valencia County, NM",-106.7345,34.7389,47.0,6.4,0.03,green
"Sarasota County, FL",-82.4566,27.2283,8.0,7.4,0.03,green
